StartTime: 2020-11-16 12:46:52.709
address	Time(s)	ChipTime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	D0	D1	D2	D3	Pressure(Pa)	Altitude(m)	Lon(deg)	Lat(deg)	GPSHeight(m)	GPSYaw(deg)	GPSV(km/h)	q0	q1	q2	q3	SV	PDOP	HDOP	VDOP 
	12:46:52.710	2020-11-11 13:25:31.320	0.1069	-0.9121	0.3267							10.9900															0.60236	-0.38321	-0.42740	0.55460				
	12:46:52.713	2020-11-11 13:25:31.330	0.0981	-0.9414	0.3892							10.9300															0.60220	-0.38361	-0.42758	0.55435				
	12:46:52.713	2020-11-11 13:25:31.340	0.0737	-0.9263	0.3555							10.8600															0.60187	-0.38400	-0.42822	0.55396				
	12:46:52.713	2020-11-11 13:25:31.350	0.1440	-0.9653	0.3481							10.9300															0.60138	-0.38455	-0.42874	0.55368				
	12:46:52.713	2020-11-11 13:25:31.360	0.0649	-0.9634	0.3643							10.8600															0.60123	-0.38480	-0.42886	0.55362				
	12:46:52.713	2020-11-11 13:25:31.370	0.0830	-0.9302	0.4165							10.7400															0.60114	-0.38495	-0.42874	0.55371				
	12:46:52.713	2020-11-11 13:25:31.380	0.1343	-0.9751	0.3198							10.8600															0.60065	-0.38483	-0.42935	0.55383				
	12:46:52.713	2020-11-11 13:25:31.390	0.0894	-0.9482	0.3052							10.8600															0.60022	-0.38486	-0.42978	0.55396				
	12:46:52.713	2020-11-11 13:25:31.400	0.1660	-0.9756	0.3467							10.8600															0.59976	-0.38510	-0.42987	0.55417				
	12:46:52.714	2020-11-11 13:25:31.410	0.0991	-0.9282	0.3394							10.6700															0.59958	-0.38553	-0.43015	0.55389				
	12:46:52.714	2020-11-11 13:25:31.420	0.1089	-0.9644	0.3486							10.8600															0.59979	-0.38611	-0.42969	0.55359				
	12:46:52.714	2020-11-11 13:25:31.430	0.0352	-0.9185	0.3945							10.9900															0.60022	-0.38678	-0.42889	0.55331				
	12:46:52.714	2020-11-11 13:25:31.440	0.0542	-0.9229	0.3970							10.7400															0.60031	-0.38705	-0.42874	0.55313				
